area,bedrooms,bathrooms,floors,location,parking,furnishing,property_type,age,price
2419,5,1,3,Pune,2,Semi-Furnished,Villa,4,30042186.825172614
1915,1,2,3,Delhi,0,Semi-Furnished,House,22,24116792.401792943
1658,5,4,3,Lucknow,0,Furnished,Villa,27,14597131.172128528
1718,3,4,1,Gurgaon,2,Unfurnished,Villa,20,25486968.890373424
900,3,4,1,Gurgaon,1,Furnished,Villa,6,15157627.914183874
1139,1,1,3,Kanpur,2,Semi-Furnished,Apartment,12,6564085.254199911
3604,4,2,1,Lucknow,1,Semi-Furnished,Apartment,19,25959847.09683
3235,2,3,1,Gurgaon,0,Unfurnished,Villa,23,44908632.73756856
959,3,1,2,Delhi,1,Furnished,Villa,28,12076081.812511643
1454,3,4,2,Lucknow,2,Furnished,Villa,26,11348778.416993853
969,4,2,2,Delhi,2,Furnished,Apartment,29,14645874.874680432
3946,4,4,2,Pune,0,Semi-Furnished,Villa,25,46294394.21715304
1545,5,3,1,Pune,1,Furnished,Villa,12,20498171.51042971
3297,5,4,3,Gurgaon,1,Unfurnished,House,26,48189460.746874824
2193,2,4,1,Gurgaon,1,Semi-Furnished,House,25,31632663.584759723
2585,2,3,1,Jaipur,0,Semi-Furnished,Apartment,6,24317076.49237311
2777,1,2,1,Pune,1,Furnished,House,9,31195191.163111217
3936,5,1,2,Bangalore,2,Unfurnished,House,14,54926919.39868366
1062,3,2,2,Bangalore,1,Semi-Furnished,House,20,16080247.883455131
2985,5,3,2,Kanpur,0,Semi-Furnished,Apartment,26,19148971.54273612
2299,3,4,3,Pune,1,Furnished,House,5,29049569.806962617
3854,4,2,1,Delhi,1,Furnished,Apartment,4,51116832.62826356
2574,5,1,3,Delhi,2,Unfurnished,Villa,22,34684126.51259355
725,4,3,2,Prayagraj,1,Furnished,House,27,5157387.193395186
3848,2,2,3,Lucknow,2,Unfurnished,Apartment,1,28952672.77956979
1297,2,1,1,Mumbai,2,Semi-Furnished,House,20,20066196.793848287
2831,1,3,1,Bangalore,0,Unfurnished,Villa,14,38598474.20447184
3426,5,1,2,Gurgaon,2,Unfurnished,Apartment,25,49911124.15638353
1459,4,3,2,Kanpur,2,Unfurnished,Apartment,15,10501729.683127273
2004,3,4,3,Mumbai,0,Semi-Furnished,Apartment,18,33334795.81890793
952,2,2,2,Noida,2,Furnished,Villa,8,11263307.300447613
3567,2,1,2,Kanpur,0,Semi-Furnished,Villa,28,20429111.017310217
1315,3,3,1,Noida,1,Furnished,Villa,21,15811139.298549877
1158,4,1,2,Pune,0,Unfurnished,Apartment,28,14247372.192292731
1046,4,1,2,Noida,2,Unfurnished,Villa,25,11800450.16463171
1715,5,2,1,Noida,0,Unfurnished,House,18,20287039.14867158
3620,5,4,1,Jaipur,2,Unfurnished,Villa,6,34887237.15056575
516,1,1,3,Jaipur,1,Unfurnished,Apartment,3,4175123.2326566484
3743,2,3,2,Jaipur,0,Furnished,House,29,31647370.7528519
1743,5,3,1,Pune,1,Furnished,Villa,2,23402754.2598341
2705,4,4,3,Mumbai,2,Unfurnished,House,23,43749339.70010618
3024,3,3,3,Kanpur,2,Semi-Furnished,House,28,18489343.908486936
1569,4,4,2,Kanpur,1,Semi-Furnished,Apartment,19,11690995.514299562
3944,2,3,2,Gurgaon,0,Unfurnished,House,10,56582003.1415744
3065,4,2,3,Jaipur,0,Furnished,House,0,28500495.26042777
2646,1,1,1,Pune,2,Semi-Furnished,Apartment,5,30481135.4667901
2268,2,2,3,Gurgaon,1,Semi-Furnished,Apartment,25,32300902.940985158
1560,3,1,2,Lucknow,1,Semi-Furnished,Apartment,10,13371301.217448136
2827,1,1,1,Gurgaon,0,Unfurnished,House,26,38996025.75365967
3920,2,1,1,Mumbai,0,Semi-Furnished,House,0,61441422.981027216
3044,3,2,3,Bangalore,0,Semi-Furnished,House,20,42006077.11450988
801,1,1,2,Noida,1,Semi-Furnished,Apartment,6,8589038.833879104
680,1,2,3,Jaipur,0,Semi-Furnished,Villa,5,6154639.271367379
1106,2,4,3,Bangalore,0,Furnished,House,13,15755627.35302369
3670,5,3,3,Gurgaon,2,Unfurnished,Villa,1,54752062.73877098
1199,1,3,1,Pune,0,Unfurnished,Apartment,26,13272700.267564971
1492,1,1,1,Noida,0,Furnished,House,3,16615549.794832753
1639,3,2,2,Kanpur,1,Furnished,Villa,10,10657219.18237066
690,4,3,2,Delhi,1,Unfurnished,House,14,11263731.734617593
2800,2,2,3,Noida,2,Semi-Furnished,House,17,30782090.352420893
1480,2,2,3,Mumbai,0,Semi-Furnished,House,26,22665244.40033348
3475,5,1,3,Mumbai,2,Unfurnished,Villa,0,56986353.009349234
2506,5,3,2,Gurgaon,1,Semi-Furnished,Apartment,2,38850709.24147914
1684,2,1,1,Lucknow,2,Furnished,House,2,12357531.78168457
3827,5,1,1,Mumbai,1,Semi-Furnished,Apartment,27,60632540.47643699
3894,3,3,3,Mumbai,2,Semi-Furnished,Apartment,6,61964395.94584955
627,2,3,3,Pune,2,Semi-Furnished,Villa,0,9723932.49016622
2565,5,4,3,Gurgaon,0,Unfurnished,Villa,24,37951696.90736322
2316,2,4,3,Noida,2,Furnished,Apartment,10,25448258.422344666
2258,4,2,2,Lucknow,0,Semi-Furnished,House,5,18041091.591665585
3113,1,3,1,Bangalore,0,Unfurnished,Villa,19,41254413.84795044
1069,2,4,3,Delhi,0,Semi-Furnished,House,2,15794192.632268945
1846,1,2,2,Jaipur,0,Furnished,House,18,15202093.750559106
2395,5,2,3,Kanpur,2,Semi-Furnished,House,1,16653246.775405861
3233,1,2,3,Mumbai,1,Furnished,Apartment,17,50861105.21358209
1125,2,4,1,Gurgaon,1,Semi-Furnished,House,29,16999264.31110707
3859,4,3,3,Jaipur,1,Furnished,Apartment,11,35004519.60164447
3401,5,1,1,Kanpur,2,Semi-Furnished,Apartment,28,20631811.143723864
2186,2,2,1,Kanpur,0,Furnished,House,9,13483048.228105545
3509,5,4,1,Bangalore,1,Semi-Furnished,House,4,50464191.97636253
654,3,4,2,Bangalore,2,Semi-Furnished,House,8,10604898.818392256
3037,1,1,2,Bangalore,0,Unfurnished,House,1,41517768.62196192
1909,3,1,1,Prayagraj,1,Unfurnished,Apartment,1,10653252.97372146
1284,2,4,3,Prayagraj,0,Furnished,House,27,7227825.967506139
3675,4,3,1,Kanpur,1,Semi-Furnished,House,5,22676554.79772518
3964,5,1,3,Bangalore,1,Furnished,Apartment,28,55202598.121685304
745,1,4,1,Pune,1,Unfurnished,Villa,9,9925670.81246852
3747,5,1,3,Mumbai,0,Furnished,Villa,17,58825787.36060703
3610,2,3,2,Jaipur,2,Furnished,Apartment,11,31823536.686884925
2000,5,2,3,Jaipur,0,Unfurnished,Villa,3,19389288.97795768
2205,1,1,1,Prayagraj,1,Semi-Furnished,Apartment,21,10334636.535109319
3306,2,3,2,Kanpur,0,Furnished,House,20,19337151.76323421
1037,5,4,3,Gurgaon,2,Unfurnished,House,16,17054003.12516575
2390,4,1,3,Noida,0,Semi-Furnished,Villa,14,27025732.88249222
2341,2,1,3,Noida,2,Unfurnished,House,5,26232827.04349967
1420,2,4,3,Prayagraj,2,Furnished,Villa,15,8683712.387470992
2955,4,2,3,Gurgaon,0,Semi-Furnished,Villa,16,43060247.73572957
1024,3,4,2,Prayagraj,1,Semi-Furnished,House,2,7897509.142972491
3375,1,1,2,Noida,2,Unfurnished,House,9,36433192.753038995
2029,3,4,2,Gurgaon,0,Unfurnished,Villa,4,30933458.868370842
3450,5,3,2,Bangalore,2,Unfurnished,House,13,48129062.988409884
535,4,4,1,Kanpur,1,Semi-Furnished,Apartment,25,4501806.943065496
1184,3,1,2,Jaipur,0,Semi-Furnished,House,28,10161569.539253945
519,2,4,3,Pune,0,Furnished,House,20,6074904.551075151
2868,5,2,3,Lucknow,0,Semi-Furnished,Apartment,12,22588001.566665765
3059,5,4,2,Kanpur,1,Furnished,House,25,20235902.60366181
899,3,2,3,Bangalore,2,Unfurnished,House,5,14632545.183379795
3201,3,3,2,Noida,0,Unfurnished,Villa,11,35680313.07200244
1471,4,2,3,Bangalore,2,Semi-Furnished,House,25,21478155.966935776
2406,1,4,1,Prayagraj,2,Unfurnished,House,7,14347047.76548169
3018,3,1,1,Gurgaon,1,Unfurnished,Apartment,4,44373931.916089185
1666,3,2,2,Jaipur,0,Semi-Furnished,Villa,29,15007217.843394173
1615,2,3,2,Mumbai,2,Furnished,Villa,14,25501542.652831927
3925,5,2,2,Prayagraj,0,Semi-Furnished,Villa,26,21598909.397178136
1333,1,2,3,Kanpur,0,Furnished,House,15,7914048.675152781
2323,2,2,2,Prayagraj,1,Semi-Furnished,Villa,0,12992807.827283662
3274,4,3,1,Kanpur,0,Semi-Furnished,Apartment,15,20170580.93796588
2482,4,4,3,Mumbai,0,Unfurnished,Villa,4,40748502.28166538
1353,3,2,2,Delhi,2,Semi-Furnished,Apartment,2,19876188.43918045
550,3,2,3,Jaipur,1,Semi-Furnished,Villa,19,5805820.535371313
1074,4,1,3,Pune,0,Furnished,Villa,14,13322960.720564876
3761,3,3,2,Pune,2,Unfurnished,Apartment,12,43687426.59763494
1648,1,2,3,Lucknow,1,Furnished,Villa,23,11621299.397231428
2697,3,3,1,Bangalore,1,Furnished,Villa,15,37340295.14789111
2861,5,2,1,Delhi,2,Unfurnished,Villa,22,37954722.223750174
3117,3,4,3,Pune,2,Unfurnished,House,10,36519322.01536226
3913,2,4,2,Prayagraj,2,Unfurnished,Apartment,20,20953378.67975225
2852,1,2,3,Bangalore,2,Semi-Furnished,Villa,1,39112588.362275116
2215,2,4,1,Delhi,2,Unfurnished,Apartment,21,28616380.67148799
1181,2,2,3,Gurgaon,0,Unfurnished,Apartment,26,16598381.929333558
1337,5,4,3,Gurgaon,0,Unfurnished,Apartment,5,22242566.02798281
1577,1,1,1,Bangalore,1,Furnished,Villa,25,20638520.435801655
3550,1,1,3,Kanpur,0,Furnished,Villa,25,19475496.873885304
2991,1,1,3,Kanpur,0,Semi-Furnished,Apartment,29,16070874.128995154
3160,1,3,2,Prayagraj,0,Furnished,House,26,14795572.111779457
3540,1,3,2,Delhi,2,Semi-Furnished,Apartment,5,46378254.27163176
2811,5,1,1,Delhi,1,Furnished,House,13,36814476.919809036
3624,3,3,1,Bangalore,1,Unfurnished,Apartment,24,49629968.28730572
2095,2,4,1,Noida,1,Furnished,Apartment,10,23955285.460747723
3551,1,2,2,Gurgaon,1,Semi-Furnished,Apartment,7,50404078.14811041
504,3,2,1,Delhi,0,Furnished,Villa,7,8177111.261902778
1626,3,2,1,Bangalore,0,Unfurnished,House,0,23487232.26537989
1719,2,1,1,Mumbai,2,Semi-Furnished,House,20,27205347.60154556
1273,5,3,2,Lucknow,1,Unfurnished,Apartment,6,12507461.271759452
1376,4,4,3,Mumbai,0,Unfurnished,Villa,5,23544336.786807332
1491,4,4,1,Jaipur,0,Semi-Furnished,Villa,20,14861382.429476151
3431,3,1,3,Prayagraj,2,Unfurnished,House,7,19358099.001194056
3921,2,4,1,Delhi,2,Unfurnished,Villa,18,50936882.63126718
546,4,4,3,Jaipur,2,Furnished,House,21,6584847.887789294
3414,3,4,2,Pune,0,Unfurnished,House,20,40868416.41954277
3370,5,4,2,Jaipur,0,Unfurnished,House,23,30702353.119522378
3483,4,3,1,Bangalore,2,Unfurnished,Villa,19,48539664.951901436
3203,3,4,3,Delhi,1,Unfurnished,House,7,42783987.1047668
768,3,2,2,Lucknow,2,Semi-Furnished,House,25,6649931.663799641
869,1,1,1,Bangalore,2,Furnished,Apartment,13,11788262.527275506
1135,5,3,1,Bangalore,2,Unfurnished,House,17,17890495.430352084
1629,1,4,2,Prayagraj,2,Unfurnished,House,24,9058191.871718384
2193,2,3,2,Prayagraj,0,Semi-Furnished,Apartment,28,10908999.489382623
2182,1,4,1,Gurgaon,1,Unfurnished,Apartment,15,31238003.011436652
1156,1,2,3,Gurgaon,2,Semi-Furnished,Villa,8,16937957.762265675
619,4,1,3,Kanpur,1,Furnished,House,14,4617513.591007909
1330,3,4,3,Noida,1,Furnished,Villa,29,14823580.269074216
2310,5,4,1,Delhi,1,Unfurnished,Villa,25,31144210.038179953
1581,1,4,2,Delhi,2,Unfurnished,Apartment,9,21270338.738165986
2474,5,4,1,Jaipur,0,Unfurnished,Villa,28,23299672.827852882
1869,1,1,2,Delhi,2,Semi-Furnished,House,21,24276257.048439737
1240,2,1,3,Delhi,1,Unfurnished,Apartment,15,16302594.308595933
616,1,2,3,Noida,1,Unfurnished,House,3,7696234.875714354
2353,4,1,2,Pune,0,Furnished,House,19,27775296.90295385
3338,3,4,2,Gurgaon,2,Unfurnished,Apartment,12,47885280.52239667
1650,2,2,1,Gurgaon,1,Furnished,House,21,23126054.544069864
3964,1,2,3,Lucknow,0,Unfurnished,Apartment,4,28928632.14558237
2431,5,2,1,Delhi,1,Furnished,House,21,33159842.58595979
1512,2,4,1,Noida,0,Unfurnished,Apartment,6,17993804.012559984
2164,2,3,1,Gurgaon,0,Furnished,Villa,22,30857094.007768307
1581,1,4,3,Noida,2,Semi-Furnished,House,8,17003082.769699514
1133,2,1,1,Mumbai,1,Furnished,Apartment,7,17983937.507160414
1012,5,1,1,Pune,2,Furnished,House,28,12546646.077176418
3349,2,4,1,Delhi,1,Furnished,House,15,43911784.28954536
1619,5,4,1,Lucknow,2,Unfurnished,House,5,14704314.451791702
1641,1,2,1,Jaipur,1,Unfurnished,Apartment,27,14429600.254065208
1059,3,4,1,Gurgaon,2,Unfurnished,Villa,15,17609819.168930378
987,2,2,3,Mumbai,0,Semi-Furnished,Villa,5,17286649.223110434
3808,3,1,1,Noida,1,Semi-Furnished,Villa,13,40775743.50317839
1396,5,2,2,Prayagraj,1,Furnished,Apartment,20,9235845.606070785
3843,2,4,1,Bangalore,0,Semi-Furnished,Villa,0,52873137.95553107
1712,4,1,1,Delhi,2,Furnished,Apartment,24,23085135.909116644
1203,3,3,3,Delhi,1,Furnished,House,8,16754993.12862802
1970,2,2,3,Mumbai,1,Furnished,House,24,31401078.18377573
1080,3,1,2,Noida,2,Semi-Furnished,Villa,26,11696534.224898057
3337,2,2,2,Kanpur,0,Unfurnished,Apartment,23,18063580.48766445
3408,1,1,3,Delhi,2,Semi-Furnished,House,12,44407690.40787158
2794,3,1,3,Kanpur,2,Furnished,Apartment,25,16667648.339783965
3647,4,2,1,Prayagraj,2,Furnished,Apartment,28,18735736.617790937
653,4,3,3,Mumbai,1,Semi-Furnished,House,18,11975064.442465432
2179,5,1,2,Noida,0,Furnished,Apartment,16,24541071.452641558
1496,2,1,1,Noida,0,Furnished,House,10,16460870.72340222
3657,3,1,2,Pune,2,Semi-Furnished,House,27,42059790.41795741
3244,5,3,1,Bangalore,1,Semi-Furnished,House,27,45518089.546451814
3856,3,3,3,Gurgaon,2,Semi-Furnished,Apartment,7,56310864.51025426
1743,2,4,2,Gurgaon,1,Furnished,House,22,25454626.556654755
1592,4,2,1,Jaipur,1,Furnished,Apartment,28,15162135.378764005
3618,1,3,1,Lucknow,1,Unfurnished,House,4,25563270.890831552
1508,4,2,3,Mumbai,1,Unfurnished,House,9,25048733.653369784
2641,5,4,3,Prayagraj,0,Semi-Furnished,Villa,6,15651568.583371917
2273,1,2,3,Noida,1,Unfurnished,Villa,9,25069628.886501446
1457,5,3,2,Bangalore,1,Furnished,Villa,3,22258553.692160763
3559,2,2,1,Kanpur,2,Unfurnished,Apartment,8,20687422.303854775
952,1,3,3,Mumbai,2,Furnished,Apartment,26,15185463.773058468
1727,5,2,2,Jaipur,0,Semi-Furnished,House,25,15802426.209545137
3459,2,3,2,Mumbai,2,Semi-Furnished,House,13,54493236.75874583
2765,4,3,2,Jaipur,1,Furnished,House,1,27266571.95044085
3021,2,2,3,Noida,2,Unfurnished,House,24,32714069.27700174
2979,3,4,3,Lucknow,0,Semi-Furnished,Apartment,8,22847479.69629266
2888,2,1,1,Jaipur,2,Semi-Furnished,House,20,24748635.93702791
1050,2,4,1,Noida,2,Unfurnished,House,26,12478743.793110736
2135,3,2,3,Noida,0,Unfurnished,Villa,0,24748935.215052314
1812,5,4,2,Lucknow,0,Furnished,House,22,15121799.744725468
3825,5,3,2,Gurgaon,1,Unfurnished,House,9,56551779.97111971
2257,2,1,2,Mumbai,2,Unfurnished,House,9,35117875.75978101
856,3,2,1,Delhi,1,Unfurnished,Apartment,19,11140594.724965531
2570,3,2,2,Delhi,2,Furnished,Villa,24,33393588.86211325
2285,4,2,1,Kanpur,2,Furnished,House,21,14229357.407326927
3069,5,1,1,Kanpur,1,Semi-Furnished,House,28,18979439.517170183
2281,1,3,2,Delhi,2,Furnished,Villa,2,30289189.871902812
3671,5,2,2,Prayagraj,2,Semi-Furnished,House,5,20651512.80325281
3349,5,4,3,Delhi,2,Unfurnished,Apartment,28,44678999.22974818
3751,4,2,3,Kanpur,0,Semi-Furnished,House,25,22046483.60722254
3794,1,2,2,Bangalore,1,Semi-Furnished,Apartment,5,52393500.689007014
3309,4,2,1,Kanpur,0,Unfurnished,Apartment,20,20223521.14948148
2989,1,2,1,Prayagraj,1,Semi-Furnished,House,1,14965796.506483536
2131,2,3,1,Mumbai,1,Furnished,Villa,25,34377657.55010979
3316,1,4,1,Delhi,2,Furnished,Apartment,25,42015025.49802137
1515,4,3,1,Lucknow,1,Furnished,Villa,17,12167631.504609916
1848,5,4,3,Bangalore,0,Furnished,House,22,28050243.32627176
1015,1,2,2,Noida,0,Semi-Furnished,Apartment,1,11780418.328897782
3587,1,1,3,Prayagraj,0,Semi-Furnished,House,11,18126683.003602743
3339,3,3,1,Kanpur,1,Unfurnished,Villa,21,20414930.057936076
835,5,1,1,Lucknow,0,Semi-Furnished,House,4,8292005.141881098
2282,2,3,1,Jaipur,1,Semi-Furnished,House,19,19832597.36490684
2805,4,2,1,Gurgaon,0,Semi-Furnished,Apartment,6,41265371.27253113
996,2,3,2,Delhi,0,Unfurnished,House,23,13954033.139622018
1395,5,2,1,Gurgaon,1,Furnished,House,15,22031893.776603404
2707,1,3,2,Prayagraj,0,Semi-Furnished,House,19,14220757.519858068
1351,1,2,1,Jaipur,2,Unfurnished,Apartment,0,12610177.43638575
2187,5,2,2,Jaipur,1,Unfurnished,Villa,0,21143108.211328126
2431,1,4,3,Jaipur,1,Unfurnished,Villa,16,20549291.76306597
3237,1,2,1,Noida,1,Furnished,House,26,34162501.59257702
2927,1,4,2,Prayagraj,2,Semi-Furnished,Apartment,0,16989349.039205987
2068,4,2,3,Mumbai,1,Unfurnished,House,20,33054213.495876748
1456,4,1,1,Gurgaon,0,Furnished,Villa,19,21940686.28431901
3238,3,2,1,Mumbai,0,Unfurnished,Apartment,12,50577392.14215963
3998,2,1,1,Lucknow,0,Unfurnished,Villa,29,27508151.661469053
2136,5,1,2,Pune,1,Unfurnished,Villa,8,26557168.392687272
1791,5,2,2,Bangalore,0,Unfurnished,Apartment,14,25256152.957164798
1940,5,1,3,Bangalore,1,Unfurnished,Apartment,2,28592988.373635307
1691,3,4,2,Mumbai,0,Furnished,House,13,27473049.76329143
1566,4,3,2,Pune,2,Semi-Furnished,House,22,19791579.612869136
784,3,2,1,Pune,2,Semi-Furnished,Villa,10,10498099.678923234
2944,5,1,1,Delhi,2,Semi-Furnished,Apartment,23,39464119.50973379
511,2,2,1,Lucknow,2,Semi-Furnished,Apartment,21,4187200.8566275924
2130,1,4,1,Prayagraj,1,Furnished,House,11,10855810.240085246
3873,4,2,1,Pune,0,Furnished,Villa,12,44534119.959481865
3824,4,2,1,Kanpur,2,Furnished,Villa,25,22009895.248221014
3046,3,1,1,Bangalore,1,Unfurnished,House,12,42128278.916305
1253,4,4,3,Kanpur,2,Unfurnished,Apartment,0,11595665.459634498
2582,5,3,3,Lucknow,2,Unfurnished,House,23,20691619.068592567
3274,5,3,3,Pune,1,Semi-Furnished,House,9,40454823.44100217
3396,3,1,3,Gurgaon,1,Unfurnished,House,2,49910786.64539451
589,5,2,1,Bangalore,0,Semi-Furnished,House,23,9424531.995062957
1275,2,1,3,Delhi,0,Unfurnished,Apartment,27,16597657.990495313
3152,3,1,1,Delhi,2,Semi-Furnished,House,3,41375912.654243745
3517,2,1,3,Jaipur,2,Unfurnished,Apartment,15,30113446.06523082
2125,1,2,2,Noida,0,Unfurnished,House,7,22858203.837031845
3569,2,4,3,Pune,0,Furnished,Villa,15,41142200.98883644
917,1,1,3,Lucknow,1,Unfurnished,Apartment,26,6349684.731593073
614,1,2,1,Bangalore,0,Unfurnished,Villa,16,8030756.632054597
1116,2,4,3,Noida,0,Furnished,House,18,13262551.389291488
3767,3,1,2,Lucknow,2,Semi-Furnished,House,21,27806372.041515734
1325,5,3,1,Mumbai,0,Furnished,House,14,23126481.766222242
2149,5,4,1,Pune,2,Furnished,Apartment,15,28088605.954303723
2016,1,1,3,Prayagraj,0,Semi-Furnished,Villa,14,10572096.324329155
3646,1,4,1,Prayagraj,1,Unfurnished,Apartment,24,18850264.645100232
912,3,4,1,Pune,0,Semi-Furnished,Apartment,1,12697476.687271627
3947,4,4,1,Jaipur,0,Unfurnished,House,10,35830683.068907164
3991,2,4,1,Jaipur,0,Unfurnished,Villa,0,35786303.68154388
1228,1,4,1,Prayagraj,2,Semi-Furnished,House,14,7123820.686763803
3848,5,4,1,Gurgaon,1,Furnished,Apartment,25,56084215.26984576
3568,3,1,2,Bangalore,0,Semi-Furnished,House,18,47101543.62856185
3308,2,3,3,Prayagraj,2,Unfurnished,Villa,3,18468082.70456241
1175,3,2,2,Gurgaon,1,Semi-Furnished,House,10,18620723.608441677
3965,2,4,1,Noida,2,Semi-Furnished,Villa,4,43151940.57192158
2392,2,2,1,Gurgaon,2,Unfurnished,Villa,2,35490584.324860245
3004,1,1,3,Noida,1,Furnished,House,12,31546236.660841238
3467,3,4,2,Lucknow,0,Semi-Furnished,Apartment,9,26135735.408796463
2739,3,3,3,Kanpur,2,Unfurnished,House,10,18043780.263681676
3286,5,2,2,Lucknow,2,Unfurnished,Apartment,17,24956682.804892994
1622,5,4,1,Prayagraj,0,Semi-Furnished,Apartment,1,10901726.10565339
2071,1,1,3,Noida,0,Furnished,House,6,23097917.182822
1477,1,3,3,Prayagraj,1,Semi-Furnished,Apartment,8,8164521.6507318085
1508,4,2,1,Pune,1,Furnished,Apartment,9,19712872.796615534
2643,5,2,3,Bangalore,1,Furnished,House,17,36652548.56908553
2187,2,4,2,Delhi,0,Furnished,House,22,27696898.365204573
3210,3,3,2,Prayagraj,2,Furnished,House,6,17522527.74221079
3761,1,3,2,Bangalore,2,Semi-Furnished,Apartment,26,50030569.61173365
536,3,3,2,Gurgaon,1,Unfurnished,Villa,6,8902356.701673444
3940,3,3,1,Lucknow,0,Unfurnished,Apartment,2,29914648.238215
2048,4,1,3,Gurgaon,2,Unfurnished,Villa,11,30889297.08432839
2826,5,3,2,Delhi,1,Unfurnished,House,6,38258528.56108073
2764,1,2,1,Noida,2,Unfurnished,Villa,16,29112700.6503046
3414,3,2,3,Pune,2,Unfurnished,House,25,38943409.28307422
1372,1,1,3,Bangalore,0,Semi-Furnished,House,0,18415157.10055348
2321,2,2,1,Pune,0,Furnished,Villa,4,25847421.15001104
1796,4,2,1,Kanpur,2,Unfurnished,House,15,12065079.846927566
2609,2,3,2,Prayagraj,1,Semi-Furnished,Villa,14,13768881.15364951
1095,1,2,3,Noida,0,Unfurnished,House,1,12283427.077586714
2403,1,1,3,Kanpur,2,Unfurnished,Apartment,8,13600898.239495615
1228,5,3,1,Mumbai,0,Furnished,Apartment,6,22266448.749575134
1865,3,4,3,Prayagraj,0,Furnished,House,3,12701195.79470854
896,3,3,2,Gurgaon,0,Furnished,House,19,13426957.571989423
1198,2,1,3,Lucknow,2,Unfurnished,Villa,17,9785848.069486175
3590,4,3,1,Bangalore,1,Unfurnished,Apartment,20,49830324.906073645
2724,3,3,1,Delhi,1,Unfurnished,Villa,3,36590109.94589122
2135,5,1,2,Delhi,1,Furnished,House,27,28278938.631718583
895,2,3,2,Gurgaon,0,Semi-Furnished,House,12,13638391.564883003
2992,2,1,3,Jaipur,2,Unfurnished,Villa,0,27257595.344849315
3804,5,1,3,Delhi,0,Unfurnished,House,27,48761359.51952174
575,4,4,1,Bangalore,1,Unfurnished,Apartment,23,9509996.634424275
764,5,2,2,Gurgaon,1,Semi-Furnished,Villa,2,14370500.10391125
3002,4,2,2,Noida,2,Unfurnished,Apartment,15,34062857.346764
2319,5,3,2,Delhi,0,Semi-Furnished,Apartment,29,30458107.03052488
1217,5,3,3,Pune,1,Unfurnished,Apartment,21,15889104.061109478
3282,1,4,2,Gurgaon,2,Semi-Furnished,Villa,3,47962003.92391701
3955,2,4,1,Bangalore,0,Unfurnished,House,24,53733214.05966055
1350,5,4,1,Pune,0,Furnished,Apartment,22,18007567.260621645
1890,5,1,3,Prayagraj,1,Furnished,Apartment,24,11153142.94408365
643,3,4,3,Prayagraj,1,Furnished,Apartment,15,5326676.573997892
1384,2,4,2,Delhi,0,Furnished,House,25,18359798.21096358
3640,3,3,3,Pune,0,Unfurnished,House,18,42907866.53876395
3670,2,4,1,Lucknow,1,Furnished,Villa,0,27629094.410284393
895,3,1,2,Prayagraj,0,Semi-Furnished,House,4,5959595.581472608
3596,5,1,1,Lucknow,1,Furnished,Villa,18,26664515.583841145
3495,5,3,2,Noida,0,Furnished,Villa,21,38291489.116597794
3438,1,4,3,Gurgaon,1,Furnished,Villa,23,48794478.350529194
1992,3,4,2,Kanpur,2,Unfurnished,Villa,10,13093106.867029075
3722,4,1,2,Bangalore,1,Furnished,Villa,12,51273757.19855132
1667,1,4,1,Gurgaon,1,Semi-Furnished,Apartment,19,24846874.655262105
3116,3,4,1,Bangalore,2,Furnished,House,4,44822768.85118641
1562,3,4,2,Pune,0,Furnished,Apartment,20,20106422.38934415
2656,1,2,3,Noida,2,Furnished,Villa,3,29856826.25419956
1565,5,3,3,Mumbai,1,Semi-Furnished,House,3,28552509.09589275
1709,3,2,1,Delhi,0,Furnished,Apartment,3,23601664.83390628
3482,5,3,3,Bangalore,2,Semi-Furnished,Apartment,3,49259089.70867771
2945,1,1,1,Bangalore,0,Semi-Furnished,Villa,19,38468303.71525726
3794,5,4,3,Pune,0,Furnished,Apartment,20,45690965.30372076
1133,2,3,2,Lucknow,2,Semi-Furnished,Apartment,17,9156813.25140521
1656,4,2,1,Gurgaon,0,Unfurnished,Apartment,17,24897065.757923007
3734,3,4,1,Mumbai,2,Furnished,Apartment,15,59279064.4560231
1738,4,1,2,Jaipur,1,Furnished,Apartment,8,16384613.030175358
1232,5,3,1,Delhi,0,Semi-Furnished,Villa,17,18115079.644888464
734,3,3,3,Kanpur,1,Semi-Furnished,Villa,21,4932788.254937981
3205,5,3,3,Jaipur,1,Furnished,Apartment,1,30400569.232904047
1250,2,4,1,Gurgaon,0,Unfurnished,Villa,20,19255540.097567566
3135,1,2,3,Delhi,2,Semi-Furnished,Villa,3,39584182.07917059
3580,3,2,1,Bangalore,0,Semi-Furnished,House,11,48293344.06096144
3645,2,3,2,Kanpur,1,Unfurnished,Apartment,6,22349804.98075153
1453,2,1,1,Lucknow,1,Unfurnished,Villa,14,11552983.936830431
3039,3,1,2,Mumbai,2,Furnished,Villa,6,48305653.63493016
3460,5,2,3,Lucknow,0,Unfurnished,Apartment,28,24820879.69247773
3824,2,1,2,Noida,1,Furnished,House,21,41217962.086970374
3801,4,2,3,Pune,1,Unfurnished,Apartment,25,43565667.42404274
2042,2,3,1,Delhi,1,Semi-Furnished,House,20,26448576.828536194
1697,5,2,3,Lucknow,2,Furnished,Apartment,16,14538522.436159888
2176,5,2,1,Jaipur,1,Furnished,Apartment,15,20345183.31404462
1691,4,3,1,Pune,1,Furnished,Apartment,27,20051135.1364214
2717,2,1,2,Lucknow,0,Unfurnished,Apartment,18,18940099.903717957
